eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,20120002,2024110712412952007,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412952007,0,5915,20,20,0,0,50,36.729964,127.440136,105.651400,1,1,60,0,0x25f3d085
1,31,20120002,2024110712412957021,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412957021,0,5915,20,20,0,0,50,36.729964,127.440136,105.651688,2,2,60,101,0xeb69c217
1,31,20120002,2024110712412962030,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412962030,0,5915,20,20,0,0,50,36.729964,127.440136,105.651648,3,3,60,101,0x70ea3128
1,31,20120002,2024110712412967041,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412967041,0,5915,20,20,0,0,50,36.729964,127.440136,105.651496,4,4,60,101,0xed51db85
1,31,20120002,2024110712412972051,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412972051,0,5915,20,20,0,0,50,36.729964,127.440136,105.651520,5,5,60,101,0x7777c833
1,31,20120002,2024110712412977060,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412977060,0,5915,20,20,0,0,50,36.729964,127.440136,105.651840,6,6,60,101,0x418d61e6
1,31,20120002,2024110712412982071,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412982071,0,5915,20,20,0,0,50,36.729964,127.440136,105.652056,7,7,60,101,0x40baa89a
1,31,20120002,2024110712412987082,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412987082,0,5915,20,20,0,0,50,36.729964,127.440136,105.652048,8,8,60,101,0x47e8f2f1
1,31,20120002,2024110712412992093,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412992093,0,5915,20,20,0,0,50,36.729964,127.440136,105.651784,9,9,60,101,0xc89c2cb
1,31,20120002,2024110712412997104,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712412997104,0,5915,20,20,0,0,50,36.729964,127.440136,105.652072,10,10,60,101,0x77aeb219
1,31,20120002,2024110712413002115,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413002115,0,5915,20,20,0,0,50,36.729964,127.440136,105.652288,11,11,60,101,0xf3c366c1
1,31,20120002,2024110712413007132,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413007132,0,5915,20,20,0,0,50,36.729964,127.440136,105.652600,12,12,0,101,0x8f01f7e1
1,31,20120002,2024110712413012143,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413012143,0,5915,20,20,0,0,50,36.729964,127.440136,105.652792,13,13,0,101,0x2c61ac5f
1,31,20120002,2024110712413017154,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413017154,0,5915,20,20,0,0,50,36.729964,127.440136,105.652840,14,14,0,101,0x6ddbc02f
1,31,20120002,2024110712413022166,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413022166,0,5915,20,20,0,0,50,36.729964,127.440136,105.653040,15,15,0,101,0x4fdf0edb
1,31,20120002,2024110712413027180,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413027180,0,5915,20,20,0,0,50,36.729964,127.440136,105.653080,16,16,0,101,0x51638aba
1,31,20120002,2024110712413032191,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413032191,0,5915,20,20,0,0,50,36.729964,127.440136,105.653296,17,17,0,101,0xcd60e1f
1,31,20120002,2024110712413037202,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413037202,0,5915,20,20,0,0,50,36.729964,127.440136,105.653528,18,18,0,101,0xb97a82b4
1,31,20120002,2024110712413042213,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413042213,0,5915,20,20,0,0,50,36.729964,127.440136,105.653816,19,19,0,101,0x20e1bdd
1,31,20120002,2024110712413047224,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413047224,0,5915,20,20,0,0,50,36.729964,127.440136,105.654024,20,20,0,101,0x56c34232
1,31,20120002,2024110712413052236,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413052236,0,5915,20,20,0,0,50,36.729964,127.440136,105.654064,21,21,0,101,0xf6947f44
1,31,20120002,2024110712413057247,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413057247,0,5915,20,20,0,0,50,36.729964,127.440136,105.654200,22,22,0,101,0x94c1a59e
1,31,20120002,2024110712413062258,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413062258,0,5915,20,20,0,0,50,36.729964,127.440136,105.654488,23,23,0,101,0x6943ac6d
1,31,20120002,2024110712413067269,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413067269,0,5915,20,20,0,0,50,36.729964,127.440136,105.654616,24,24,0,101,0x4c1c299b
1,31,20120002,2024110712413072280,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413072280,0,5915,20,20,0,0,50,36.729964,127.440136,105.654872,25,25,0,101,0xfd535652
1,31,20120002,2024110712413077292,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413077292,0,5915,20,20,0,0,50,36.729964,127.440136,105.655128,26,26,0,101,0xb5c1efbf
1,31,20120002,2024110712413082303,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413082303,0,5915,20,20,0,0,50,36.729964,127.440136,105.655272,27,27,0,101,0xe5d263cd
1,31,20120002,2024110712413087315,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413087315,0,5915,20,20,0,0,50,36.729964,127.440136,105.655784,28,28,0,101,0xc060a140
1,31,20120002,2024110712413092327,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413092327,0,5915,20,20,0,0,50,36.729964,127.440136,105.656208,29,29,0,101,0x595a4436
1,31,20120002,2024110712413097338,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413097338,0,5915,20,20,0,0,50,36.729964,127.440136,105.656624,30,30,0,101,0x78819a6
1,31,20120002,2024110712413102350,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413102350,0,5915,20,20,0,0,50,36.729964,127.440136,105.656984,31,31,0,101,0xfe53a479
1,31,20120002,2024110712413107362,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413107362,0,5915,20,20,0,0,50,36.729964,127.440136,105.657624,32,32,0,101,0xe0091dda
1,31,20120002,2024110712413112373,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413112373,0,5915,20,20,0,0,50,36.729964,127.440136,105.658112,33,33,0,101,0x398d5bb3
1,31,20120002,2024110712413117385,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413117385,0,5915,20,20,0,0,50,36.729964,127.440136,105.658832,34,34,0,101,0x562b4551
1,31,20120002,2024110712413122397,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413122397,0,5915,20,20,0,0,50,36.729964,127.440136,105.659312,35,35,0,101,0x12781be1
1,31,20120002,2024110712413127409,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413127409,0,5915,20,20,0,0,50,36.729964,127.440136,105.659824,36,36,0,101,0x750c7177
1,31,20120002,2024110712413132421,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413132421,0,5915,20,20,0,0,50,36.729964,127.440136,105.660192,37,37,0,101,0x2b82a923
1,31,20120002,2024110712413137432,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413137432,0,5915,20,20,0,0,50,36.729964,127.440136,105.660600,38,38,0,101,0xda9a4294
1,31,20120002,2024110712413142444,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413142444,0,5915,20,20,0,0,50,36.729964,127.440136,105.660888,39,39,0,101,0x9a2cc4c5
1,31,20120002,2024110712413147456,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413147456,0,5915,20,20,0,0,50,36.729964,127.440136,105.661312,40,40,0,101,0x5d785779
1,31,20120002,2024110712413152468,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413152468,0,5915,20,20,0,0,50,36.729964,127.440136,105.661688,41,41,0,101,0x612a2a2f
1,31,20120002,2024110712413157480,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413157480,0,5915,20,20,0,0,50,36.729964,127.440136,105.661968,42,42,0,101,0x1fde38fd
1,31,20120002,2024110712413162492,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413162492,0,5915,20,20,0,0,50,36.729964,127.440136,105.662432,43,43,0,101,0x83f4464e
1,31,20120002,2024110712413167503,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413167503,0,5915,20,20,0,0,50,36.729964,127.440136,105.662784,44,44,0,101,0xa8fc9d53
1,31,20120002,2024110712413172515,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413172515,0,5915,20,20,0,0,50,36.729964,127.440136,105.663104,45,45,0,101,0x6a74c4d2
1,31,20120002,2024110712413177527,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413177527,0,5915,20,20,0,0,50,36.729964,127.440136,105.663168,46,46,0,101,0x2e5e6467
1,31,20120002,2024110712413182539,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413182539,0,5915,20,20,0,0,50,36.729964,127.440136,105.663384,47,47,0,101,0x3af16241
1,31,20120002,2024110712413187551,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413187551,0,5915,20,20,0,0,50,36.729964,127.440136,105.663760,48,48,0,101,0x21d3d51a
1,31,20120002,2024110712413192563,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413192563,0,5915,20,20,0,0,50,36.729964,127.440136,105.663792,49,49,0,101,0x46bdfb5b
1,31,20120002,2024110712413197574,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413197574,0,5915,20,20,0,0,50,36.729964,127.440136,105.663824,50,50,0,101,0x47ec3c57
1,31,20120002,2024110712413202584,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413202584,0,5915,20,20,0,0,50,36.729964,127.440136,105.663992,51,51,0,101,0xd1a7be83
1,31,20120002,2024110712413207612,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413207612,0,5915,20,20,0,0,50,36.729964,127.440136,105.664256,52,52,0,101,0x430f9d81
1,31,20120002,2024110712413212623,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413212623,0,5915,20,20,0,0,50,36.729964,127.440136,105.664752,53,53,0,101,0x204c8462
1,31,20120002,2024110712413217635,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413217635,0,5915,20,20,0,0,50,36.729964,127.440136,105.664904,54,54,0,101,0xf1fb0d5e
1,31,20120002,2024110712413222644,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413222644,0,5915,20,20,0,0,50,36.729964,127.440136,105.665056,55,55,0,101,0x73259b13
1,31,20120002,2024110712413227670,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712413227670,0,5915,20,20,0,0,50,36.729964,127.440136,105.665144,56,56,0,101,0xda785245
