eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024110712425394609,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425394721,2022042904363132908,2024110712425394609,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,1,1,60,0,0x724f1b33,2024110712425395381,2022042904311248591,2024110712425396234,660,-51884317,1625,-836521982,23120002,0,8704,204,1,1,40,1,60,102,1,-66,35,0,4294.967295,36.730100,127.439872,106.065664,0,1,0,100.000,0.000
1,31,23120008,2024110712425399622,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425399651,2022042904363137905,2024110712425399622,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,2,2,60,0,0x975dd0b,2024110712425400582,2022042904311253789,2024110712425401277,931,-51884116,1655,-836521982,23120002,0,8704,204,1,1,40,1,0,103,1,-63,38,0,4294.967295,36.730100,127.439872,106.066312,0,2,0,100.000,0.000
1,31,23120008,2024110712425404632,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425404650,2022042904363142922,2024110712425404632,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,3,3,60,0,0x6cf6f92e,2024110712425405076,2022042904311258282,2024110712425406322,426,-51884640,1690,-836521982,23120002,0,8704,204,1,1,40,1,0,103,1,-65,36,0,4294.967295,36.730100,127.439872,106.066912,0,3,0,100.000,0.000
1,31,23120008,2024110712425409644,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425409653,2022042904363147933,2024110712425409644,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,4,4,60,0,0x3bafd707,2024110712425410478,2022042904311263683,2024110712425411364,825,-51884250,1720,-836521982,23120002,0,8704,204,1,1,40,1,0,104,1,-63,38,0,4294.967295,36.730100,127.439872,106.067312,0,4,0,100.000,0.000
1,31,23120008,2024110712425414655,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425414689,2022042904363152951,2024110712425414655,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,5,5,60,0,0x4a6b004a,2024110712425415776,2022042904311268992,2024110712425416408,1087,-51883959,1753,-836521982,23120002,0,8704,204,1,1,40,1,0,104,1,-63,38,0,4294.967295,36.730100,127.439872,106.067680,0,5,0,100.000,0.000
1,31,23120008,2024110712425419667,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425419689,2022042904363157955,2024110712425419667,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,6,6,60,0,0x38432a87,2024110712425420277,2022042904311273482,2024110712425421450,588,-51884473,1783,-836521982,23120002,0,8704,204,1,1,40,1,0,105,1,-63,38,0,4294.967295,36.730100,127.439872,106.067928,0,6,0,100.000,0.000
1,31,23120008,2024110712425424678,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425424693,2022042904363162966,2024110712425424678,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,7,7,60,0,0x377571eb,2024110712425425475,2022042904311278681,2024110712425426489,782,-51884285,1811,-836521982,23120002,0,8704,204,1,1,40,1,0,106,1,-65,36,0,4294.967295,36.730100,127.439864,106.068368,0,7,0,100.000,0.000
1,31,23120008,2024110712425429691,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425429712,2022042904363167980,2024110712425429691,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,8,8,60,0,0x6d70bdf9,2024110712425430786,2022042904311283993,2024110712425431531,1074,-51883987,1840,-836521982,23120002,0,8704,204,1,1,40,1,0,106,1,-62,39,0,4294.967295,36.730100,127.439864,106.068760,0,8,0,100.000,0.000
1,31,23120008,2024110712425434703,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425434724,2022042904363172991,2024110712425434703,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,9,9,60,0,0x8be40dbf,2024110712425435578,2022042904311288782,2024110712425436569,854,-51884209,1866,-836521982,23120002,0,8704,204,1,1,40,1,0,107,1,-65,36,0,4294.967295,36.730100,127.439864,106.069408,0,9,0,100.000,0.000
1,31,23120008,2024110712425439714,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425439739,2022042904363178004,2024110712425439714,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,10,10,60,0,0x77d0444d,2024110712425440377,2022042904311293583,2024110712425441612,638,-51884421,1898,-836521982,23120002,0,8704,204,1,1,40,1,0,107,1,-65,36,0,4294.967295,36.730100,127.439864,106.069472,0,10,0,100.000,0.000
